Keywords,Date and Time,Source,Event ID,Task Category,
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\ankit
	Account Name:		ankit
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\amitm
	Account Name:		amitm
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\ankit
	Account Name:		ankit
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\amitm
	Account Name:		amitm
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\ankit
	Account Name:		ankit
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\amitm
	Account Name:		amitm
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\Administrator
	Account Name:		Administrator
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,27-02-2026 07:27,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-D91EEUIO$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		LAPTOP-D91EEUIO\ankit
	Account Name:		ankit
	Account Domain:		LAPTOP-D91EEUIO

Process Information:
	Process ID:		0x2660
	Process Name:		C:\Windows\System32\svchost.exe"
